Name,Parent,Level,Location,Status,CIK
MARMON TRANSPORTATION SERVICES LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
"MARMON TUBING, FITTINGS & WIRE PRODUCTS INC",BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON WATER INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON WIRE & CABLE INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARMON/KEYSTONE LLC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MARQUIS JET HOLDINGS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(5, 'Cannot find EX-21.1 for Company')",1276183
MARQUIS JET PARTNERS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(5, 'Cannot find EX-21.1 for Company')",1168793
MCLANE CO INC,BERKSHIRE HATHAWAY INC,1,Texas,"(1, 'Company is not in SEC/Name Misspelled')",
MCLANE FOODSERVICE INC,BERKSHIRE HATHAWAY INC,1,Texas,"(1, 'Company is not in SEC/Name Misspelled')",
MEDPRO GROUP INC,BERKSHIRE HATHAWAY INC,1,Indiana,"(1, 'Company is not in SEC/Name Misspelled')",
MEYN FOOD PROCESSING TECHNOLOGY BV,BERKSHIRE HATHAWAY INC,1,Netherlands,"(4, 'Non-US Company')",
MEYN HOLDING BV,BERKSHIRE HATHAWAY INC,1,Netherlands,"(4, 'Non-US Company')",
MHC INC,BERKSHIRE HATHAWAY INC,1,Iowa,"(2, 'Multiple search results found')",
MIDAMERICAN ENERGY CO,BERKSHIRE HATHAWAY INC,1,Iowa,"(0, 'Success')",928576
"MIDAMERICAN FUNDING, LLC",BERKSHIRE HATHAWAY INC,1,Iowa,"(1, 'Company is not in SEC/Name Misspelled')",
MITEK INDUSTRIES INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
MLMIC INSURANCE CO,BERKSHIRE HATHAWAY INC,1,New York,"(1, 'Company is not in SEC/Name Misspelled')",
MOUNT VERNON FIRE INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Pennsylvania,"(1, 'Company is not in SEC/Name Misspelled')",
MOUSER ELECTRONICS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
NATIONAL FIRE & MARINE INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Nebraska,"(5, 'Cannot find EX-21.1 for Company')",355323
NATIONAL INDEMNITY CO,BERKSHIRE HATHAWAY INC,1,Nebraska,"(5, 'Cannot find EX-21.1 for Company')",314943
NATIONAL INDEMNITY COMPANY OF MIDAMERICA,BERKSHIRE HATHAWAY INC,1,Iowa,"(1, 'Company is not in SEC/Name Misspelled')",
NATIONAL INDEMNITY COMPANY OF THE SOUTH,BERKSHIRE HATHAWAY INC,1,Iowa,"(1, 'Company is not in SEC/Name Misspelled')",
NATIONAL LIABILITY & FIRE INSURANCE CO,BERKSHIRE HATHAWAY INC,1,Connecticut,"(5, 'Cannot find EX-21.1 for Company')",946139
NEBRASKA FURNITURE MART INC,BERKSHIRE HATHAWAY INC,1,Nebraska,"(1, 'Company is not in SEC/Name Misspelled')",
NEDERLANDSE REASSURANTIE GROEP NV,BERKSHIRE HATHAWAY INC,1,Netherlands,"(4, 'Non-US Company')",
NETJETS AVIATION INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
NETJETS INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(5, 'Cannot find EX-21.1 for Company')",1456061
NETJETS SALES INC,BERKSHIRE HATHAWAY INC,1,Delaware,"(1, 'Company is not in SEC/Name Misspelled')",
NEVADA POWER CO,BERKSHIRE HATHAWAY INC,1,Nevada,"(0, 'Success')",71180
NFM OF KANSAS INC,BERKSHIRE HATHAWAY INC,1,Kansas,"(1, 'Company is not in SEC/Name Misspelled')",
